Blindagem;313;690;120,45%;;;;;;
Sobrancelha com Linha;70;140;100,00%;;;;;;
Depilação de Buço com Linha;50;100;100,00%;;;;;;
Corte Navalhado;0;535;100,00%;;;;;;
Coloração da Casa (Biofios);0;470;100,00%;;;;;;
Sobrancelha Navalha;0;140;100,00%;;;;;;
Unha de Fibra de Vidro - Colocação;0;130;100,00%;;;;;;
Depilação de Meia Perna;0;45;100,00%;;;;;;
Depilação de Rosto Feminino;0;45;100,00%;;;;;;
Depilação de Nariz;0;40;100,00%;;;;;;
Depilação de Nádegas;0;30;100,00%;;;;;;
Design de Sobrancelha;0;30;100,00%;;;;;;
Depilação de Axilas;0;25;100,00%;;;;;;
Hidratação e Escova (Biofios);240;420;75,00%;;;;;;
Depilação de Queixo;20;35;75,00%;;;;;;
Barba;80;120;50,00%;;;;;;
Corte Feminino;1.395,00;2.090,00;49,82%;;;;;;
Escova Simples;685;1.000,00;45,99%;;;;;;
Limpeza de Pele;400;550;37,50%;;;;;;
Unha de Acrigel - Colocação;120;142;18,33%;;;;;;
Barba Tradicional;165;190;15,15%;;;;;;
Sobrancelha na Cera;455;490;7,69%;;;;;;
Barba Modelada;490;525;7,14%;;;;;;
Manutenção Cílios (20) dias;320;320;0,00%;;;;;;
Unhas Postiças - Colocação;50;50;0,00%;;;;;;
Corte Masculino;4.835,00;4.590,00;-5,07%;;;;;;
Manicure e Pedicure;2.966,00;2.757,00;-7,05%;;;;;;
Corte a Máquina;1.910,00;1.500,00;-21,47%;;;;;;
Pedicure;945;738;-21,90%;;;;;;
Manicure;1.350,00;1.045,00;-22,59%;;;;;;
Depilação Tricotomia;180;130;-27,78%;;;;;;
Nutrição;180;120;-33,33%;;;;;;
Sobrancelha na Pinça;285;185;-35,09%;;;;;;
Escova Progressiva;2.710,00;1.735,00;-35,98%;;;;;;
Escova Botox;630;390;-38,10%;;;;;;
Depilação de Buço;75;45;-40,00%;;;;;;
Reconstrução Capilar;430;240;-44,19%;;;;;;
Retoque de raiz;1.197,50;450;-62,42%;;;;;;
Hidratação;160;60;-62,50%;;;;;;
Pintura Sobrancelhas - Henna;315;70;-77,78%;;;;;;
Micropigmentação;400;0;-100,00%;;;;;;
Spa dos Pés;175;0;-100,00%;;;;;;
Massagem Relaxante;160;0;-100,00%;;;;;;
Unha de Gel - Colocação;100;0;-100,00%;;;;;;
Manutenção Gel - Avulsa;50;0;-100,00%;;;;;;
Depilação de Queixo com Linha;15;0;-100,00%;;;;;;
Total;24.431,50;24.457,00;0,10%;;;;;;
